,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
234,2022-02-04 19:36:44+00:00,1489684367643484163,"@OAkstiereD @theArtistGrimm0 @fkundiabolical @Aug4151 @BugInTheRoom @JoeDunman @KevinMKruse You're not getting what I'm saying. My depression began to clear when I placed myself in to a wholly new situation. My job an kill me at any real time, but mentally I no longer anguish. I found the first steps to my freedom.",Dregg_Hudson,0,Dregg,en
235,2022-02-04 19:36:23+00:00,1489684277579202567,"Wtf is this 
Tf. 😒😒😒😒😒😒😒😒 Kai🤦🤦
Words can't express my anguish rn😤😤 https://t.co/T3hY5Sq3BB",simply_Yangi,0,Dom,en
236,2022-02-04 19:35:48+00:00,1489684131713892352,"I'm feeling agony &amp; anguish over my brother's untimely passing at the hands of COVID-19. I respect the first estate as an institution in theory, but in practice, it would be better if they stuck to matters of the church, not matters associated with the medical-industrial complex.",JoaquinFarinas,0,Joaquin Farinas,en
237,2022-02-04 19:34:59+00:00,1489683925488353286,"“There will be signs in the sun and moon and stars, and on the earth anguish of nations not knowing the way out because of the roaring of the sea and its agitation. People will become faint out of fear and expectation of the things coming upon the inhabited earth,",MichelleJarw,1,Michelle,en
238,2022-02-04 19:34:33+00:00,1489683817757650952,"Grenfell Tower fire: Ulster Rugby 'should remember victims' anguish'
https://t.co/OiY7DGGuik https://t.co/7dqaVQ0GMS",Eire353,5,Esther ten Wolthuis,en
239,2022-02-04 19:34:05+00:00,1489683698333241348,@SvnTmp I’ll have to look,AnguishCouplet,0,*ovrcome(/_;)anguish*•••,en
240,2022-02-04 19:32:21+00:00,1489683263929077761,women are evil https://t.co/w4tcYcrZAP,weirdmarxist,4,shape of my head causes me constant mental anguish,en
241,2022-02-04 19:31:35+00:00,1489683071876186118,"im gonna be busy til 11:59 on the dot like literallu just in severe mental ANGUISH 

i slept 12 hrs today bc me pain n ive been up doing work for 3 hrs now and im not even half way done

none of this is procrastination either like this is all just my major sucks ass physics awful https://t.co/KL7e7WclKL",noirfestakumi,1,katya ♡,en
242,2022-02-04 19:31:25+00:00,1489683030058971147,@brianstelter Hoping someday you feel the anguish of having your children be deeply ashamed of you.,redfoliot,1,SCA,en
243,2022-02-04 19:29:33+00:00,1489682556832215042,It's unreasonable to the extreme. Someone must know my anguish...,ELYSlUM_,0,♣️,en
244,2022-02-04 19:27:20+00:00,1489682002274050048,can the force heal my mental anguish,faIIenempire,0,𝓛 𝒂𝒏𝒂.,en
245,2022-02-04 19:27:09+00:00,1489681955889328138,"Not going to lie, I was struggling not to blub like a baby listening to Cathy Brokenshire, wife of James Brokenshire and Conservative MP who died of lung cancer. Whatever your party affiliations, you would need a heart of stone not to feel anguish for his wife &amp; children #C4News",WayneSmithUK71,4,Wayne Smith,en
246,2022-02-04 19:23:06+00:00,1489680933594677249,"@ChrisMCanDO Looks like attending absentmindedly scribbled on what they assumed was a free handout from augmedix.  100% not calculated or intended to cause mental anguish.  

In few yrs you will look back &amp; laugh as you pass out at the end of an 80 hr week.",muskratmarc,0,muskratmarc,en
247,2022-02-04 19:21:41+00:00,1489680579419582464,ยินดีที่จะมอบให้ทั้งตัว หัวใจและวิญญาณ,Anguishxr,0,Anguish,th
248,2022-02-04 19:20:53+00:00,1489680376427593731,Doctor of War &amp; Anguish https://t.co/IPkstKCzST,loveliessz,0,pippa🫀,en
249,2022-02-04 19:20:21+00:00,1489680244227428360,"@MrsBBell I know how weak and meaningless any words of condolence may be on such an overwhelming loss.
I pray that, in time,  our Heavenly Father will soothe tha anguish of your bereavement and leave you with the cherished memories of your beloved daddy 🙏🕊",TheHummer9,0,TheHummer,en
250,2022-02-04 19:20:11+00:00,1489680202162704385,"“ Then there will be a time of anguish greater than any since nations first came into existence. At that time Michael, the archangel who stands guard over your nation, will arise. 

""every one of your people whose name is written in the book will be rescued."" Daniel 12:1",CandleOfHope77,0,Phoenix,en
251,2022-02-04 19:17:37+00:00,1489679554985746441,@DrZoePounder I can't imagine &amp; 'see' faces of people I know/love as I could before #braininjury - do you not measure this &amp; think it's unimportant to our whole cognitive abilities &amp; if so: why do you dismiss it when it causes difficulties &amp; anguish?,sillyoldjen,0,Jenny Hughes,en
252,2022-02-04 19:07:20+00:00,1489676967813304327,"@MartyKempGA @BrianKempGA @TeamKempGA 35 states have introduced 137 bills limiting what schools can teach with regard to race, American history, politics, sexual orientation &amp; gender identity. One proposed law in SC forbids educators to raise topics that creates ""discomfort, guilt or anguish"" due to political belief. https://t.co/s4mGRM6IcE",1975Ennis,4,John Ennis,en
253,2022-02-04 19:06:37+00:00,1489676788552724480,"@flyspicejet Your customer support numbers are making me talk to poorly trained chatbots. Unable to register my complain, only added to my anguish 
Can you pls process my refund (get me a call if you think that's imp)",ashavmedh,0,Ashavmedh singh,en
254,2022-02-04 19:05:41+00:00,1489676549947203586,"NO!! [In anguish, Spinel slams her fists into the warp pad, activating it, and it warps her and Steven away.]",spinel_bot,0,spinel,en
255,2022-02-04 19:05:35+00:00,1489676524827688963,@PFF Why would any Top WR go there after seeing OBJ anguish and Mayfield suck. No Godwin should not,William75AK,1,William,en
256,2022-02-04 19:05:32+00:00,1489676516154036224,Om Birla expresses anguish over member's conduct https://t.co/ihfBxhRUUb,mpostdigital,0,Millennium Post,en
257,2022-02-04 19:05:04+00:00,1489676395039137796,BETTER THINGS COMING INSHALLAH,drainedoutangel,2,anguish,en
258,2022-02-04 19:04:19+00:00,1489676206408667144,@ahmednasirlaw Stupidest mathematician in ever to calculate  numerous numbers in  the name of law,Anguish80926637,0,Anguish,en
259,2022-02-04 19:03:56+00:00,1489676112846364679,"Meanwhile: 84,053 new #COVID19 cases and 254 new deaths in UK - more families going through the pain and anguish of someone they love dying of a virus that is still spreading yet the British Govt have removed any and all public health measures to protect citizens #JohnsonOut11",SusanlLawson,0,Lady Lawson of Galloway 💙 #BinBrexit #FBPE,en
260,2022-02-04 19:00:01+00:00,1489675127344320513,"#LFC know Luis Diaz transfer truth as £49m winger under fire for double Colombia anguish 🔴✍️

https://t.co/mkIGcOQEop",Liverpoolcom_,3,Liverpool.com,en
